Time 4505,Angle 4505
0,0
0.01,-0.000457587
0.02,-0.001828832
0.03,-0.004111963
0.04,-0.007305849
0.05,-0.011409997
0.06,-0.016424547
0.07,-0.02235027
0.08,-0.029188555
0.09,-0.036941406
0.1,-0.04561143
0.11,-0.055201826
0.12,-0.065716367
0.13,-0.077159382
0.14,-0.089535732
0.15,-0.10285078
0.16,-0.117110346
0.17,-0.132320665
0.18,-0.148488321
0.19,-0.165620174
0.2,-0.183723264
0.21,-0.202804703
0.22,-0.222871533
0.23,-0.243930564
0.24,-0.265988177
0.25,-0.289050094
0.26,-0.313121118
0.27,-0.338204799
0.28,-0.364303111
0.29,-0.391416044
0.3,-0.419541173
0.31,-0.448673197
0.32,-0.478803449
0.33,-0.5099194
0.34,-0.542004182
0.35,-0.575036138
0.36,-0.608988447
0.37,-0.643828843
0.38,-0.679519481
0.39,-0.716016959
0.4,-0.753272523
0.41,-0.791232487
0.42,-0.82983886
0.43,-0.869030151
0.44,-0.908742343
0.45,-0.948909966
0.46,-0.98946723
0.47,-1.03034915
0.48,-1.071492594
0.49,-1.112837213
0.5,-1.154326216
0.51,-1.195906945
0.52,-1.23753127
0.53,-1.279155783
0.54,-1.32074183
0.55,-1.362255386
0.56,-1.403666817
0.57,-1.44495055
0.58,-1.486084681
0.59,-1.52705055
0.6,-1.567832294
0.61,-1.608416408
0.62,-1.648791318
0.63,-1.688946972
0.64,-1.728874476
0.65,-1.768565748
0.66,-1.808013222
0.67,-1.84720958
0.68,-1.886147535
0.69,-1.924819642
0.7,-1.963218154
0.71,-2.001334911
0.72,-2.039161266
0.73,-2.076688044
0.74,-2.113905534
0.75,-2.150803504
0.76,-2.18737124
0.77,-2.223597616
0.78,-2.259471161
0.79,-2.294980156
0.8,-2.330112727
0.81,-2.36485694
0.82,-2.399200903
0.83,-2.433132847
0.84,-2.46664123
0.85,-2.499714785
0.86,-2.532342587
0.87,-2.564514119
0.88,-2.596219292
0.89,-2.627448477
0.9,-2.658192521
0.91,-2.688442758
0.92,-2.718191005
0.93,-2.747429561
0.94,-2.776151203
0.95,-2.804349174
0.96,-2.832017178
0.97,-2.859149359
0.98,-2.885740316
0.99,-2.911785098
1,-2.937279191
1.01,-2.96221852
1.02,-2.986599469
1.03,-3.010418882
1.04,-3.033674073
1.05,-3.056362835
1.06,-3.078483462
