Time 351,Angle 351
0,0
0.01,-0.000153572
0.02,-0.000613685
0.03,-0.001379477
0.04,-0.002450143
0.05,-0.003824911
0.06,-0.005503057
0.07,-0.007483899
0.08,-0.0097668
0.09,-0.012351166
0.1,-0.015236445
0.11,-0.01842213
0.12,-0.021907759
0.13,-0.025692914
0.14,-0.02977722
0.15,-0.034160351
0.16,-0.038842024
0.17,-0.043822003
0.18,-0.049100099
0.19,-0.054676172
0.2,-0.06055013
0.21,-0.066721928
0.22,-0.073191575
0.23,-0.079959129
0.24,-0.087024699
0.25,-0.094388451
0.26,-0.102050603
0.27,-0.110011427
0.28,-0.118271255
0.29,-0.126830473
0.3,-0.135689528
0.31,-0.144848926
0.32,-0.154309235
0.33,-0.164071082
0.34,-0.17413518
0.35,-0.184502243
0.36,-0.195173107
0.37,-0.206148656
0.38,-0.217429833
0.39,-0.229017646
0.4,-0.240913166
0.41,-0.253117524
0.42,-0.265631911
0.43,-0.278457572
0.44,-0.291595808
0.45,-0.305047966
0.46,-0.31881544
0.47,-0.332899658
0.48,-0.347302082
0.49,-0.362024193
0.5,-0.377067486
0.51,-0.392433451
0.52,-0.40812357
0.53,-0.424139296
0.54,-0.440482031
0.55,-0.457153115
0.56,-0.474153802
0.57,-0.491485231
0.58,-0.50914841
0.59,-0.527144176
0.6,-0.545473174
0.61,-0.564135816
0.62,-0.583132252
0.63,-0.602462328
0.64,-0.622125549
0.65,-0.64212104
0.66,-0.662447501
0.67,-0.683103169
0.68,-0.704085779
0.69,-0.725392513
0.7,-0.74701998
0.71,-0.768964163
0.72,-0.791220401
0.73,-0.813783351
0.74,-0.836646978
0.75,-0.859804531
0.76,-0.883248544
0.77,-0.90697083
0.78,-0.930962499
0.79,-0.955213969
0.8,-0.979715
0.81,-1.004454731
0.82,-1.029421724
0.83,-1.054604017
0.84,-1.07998919
0.85,-1.105564426
0.86,-1.131316589
0.87,-1.157232292
0.88,-1.183297983
0.89,-1.209500007
0.9,-1.235824701
0.91,-1.262258446
0.92,-1.288787753
0.93,-1.315399313
0.94,-1.342080065
0.95,-1.36881724
0.96,-1.395598407
0.97,-1.422411509
0.98,-1.449244894
0.99,-1.476087332
