Time,Angle
0.008,0.702726752
0.016,12.40437888
0.024,20.28884973
0.032,68.51405766
0.04,125.3809819
0.048,188.704803
0.056,219.0231221
0.064,218.4801902
0.072,215.5461952
0.08,200.950141
0.088,184.5930557
0.096,173.5472138
0.104,166.1348542
0.112,166.8954141
0.12,167.9591455
0.128,185.2115922
0.136,196.0324665
0.144,210.4007395
0.152,269.8719171
0.16,330.8924362
0.168,393.4404423
0.176,403.3016835
0.184,397.47241
0.192,388.0680567
0.2,370.1576265
0.208,356.3877879
0.216,347.873732
0.224,344.9216208
0.232,343.4901851
0.24,360.2664729
0.248,373.6964181
0.256,382.9842197
0.264,431.6519811
0.272,492.1818797
0.28,558.9311802
0.288,580.469693
0.296,578.0575206
0.304,574.399243
0.312,559.3137478
0.32,544.4128915
0.328,533.7362076
0.336,526.6303088
0.344,529.2574535
0.352,532.5988463
0.36,548.0009643
0.368,557.3942724
0.376,573.1573283
0.384,634.5382022
0.392,687.0378236
0.4,751.2765099
0.408,760.6039334
0.416,755.4396731
0.424,749.8313316
0.432,733.6450848
0.44,720.0305597
0.448,711.041539
0.456,706.4984206
0.464,710.071492
0.472,718.3554209
0.48,730.9396693
0.488,739.4410973
0.496,775.005577
0.504,839.2825316
0.512,906.4851485
0.52,938.8101126
0.528,940.6405962
0.536,936.7086636
0.544,922.8378317
0.552,905.9788391
0.56,893.995464
0.568,886.4806538
0.576,886.079199
0.584,885.4030738
0.592,905.6046685
0.6,917.3543495
0.608,930.8757681
0.616,1019.240258
0.624,1050.230663
0.632,1111.397107
0.64,1121.453388
0.648,1117.239482
0.656,1108.421421
0.664,1090.932946
0.672,1077.712488
0.68,1069.075357
0.688,1065.618446
0.696,1065.094865
0.704,1079.102542
0.712,1093.014184
0.72,1102.875191
0.728,1151.491761
0.736,1210.533877
0.744,1276.91191
0.752,1300.090146
0.76,1298.433602
0.768,1294.287309
0.776,1278.62587
0.784,1262.86802
0.792,1252.803361
0.8,1245.489969
0.808,1247.049797
0.816,1251.289914
0.824,1269.408548
0.832,1280.325025
0.84,1315.240432
0.848,1389.610848
0.856,1447.711274
0.864,1477.374866
0.872,1479.57534
0.88,1475.375568
0.888,1461.496255
0.896,1444.865359
0.904,1434.345001
0.912,1426.904139
0.92,1427.25602
0.928,1427.062984
0.936,1443.563699
0.944,1454.294105
0.952,1467.30402
0.96,1500.783775
0.968,1575.401785
0.976,1644.950597
0.984,1660.881692
0.992,1657.418557
1,1653.691609
1.008,1643.01933
1.016,1629.646014
1.024,1617.875589
1.032,1610.870611
1.04,1608.581744
1.048,1617.403071
1.056,1626.871816
1.064,1634.264434
1.072,1642.107254
1.08,1705.726767
1.088,1750.158203
1.096,1815.968998
1.104,1840.249291
1.112,1837.374249
1.12,1834.344482
1.128,1818.694141
1.136,1803.085651
1.144,1793.245717
1.152,1786.994224
1.16,1787.047816
1.168,1791.46041
1.176,1805.232495
1.184,1814.155971
1.192,1829.225271
1.2,1860.350148
1.208,1944.034968
1.216,2010.593804
1.224,2023.045517
1.232,2017.955785
1.24,2013.106283
1.248,1998.445584
1.256,1983.764792
1.264,1973.269067
1.272,1967.289079
1.28,1971.440926
1.288,1976.908223
1.296,1990.477346
1.304,1998.621661
1.312,2017.5423
1.32,2105.912743
1.328,2135.105686
1.336,2193.403895
1.344,2199.73738
1.352,2196.214176
1.36,2183.436444
1.368,2165.656744
1.376,2153.389355
1.384,2145.8812
1.392,2145.150352
1.4,2143.142232
1.408,2162.570839
1.416,2175.244018
1.424,2189.93125
1.432,2234.798018
1.44,2307.640121
1.448,2371.369495
1.456,2383.147234
1.464,2378.847663
1.472,2370.595102
1.48,2353.791606
1.488,2339.483099
1.496,2330.576467
1.504,2326.142154
1.512,2327.111593
1.52,2338.47005
1.528,2351.920785
1.536,2361.132859
1.544,2398.186691
1.552,2462.262649
1.56,2528.685114
1.568,2557.227462
1.576,2558.734302
1.584,2556.239851
1.592,2544.050605
1.6,2528.229402
1.608,2516.507397
1.616,2509.008547
1.624,2508.112492
1.632,2506.683929
1.64,2524.381114
1.648,2535.217671
1.656,2546.05576
1.664,2614.688927
1.672,2659.580388
1.68,2724.063616
1.688,2741.620246
1.696,2737.887402
1.704,2730.461454
1.712,2712.73561
1.72,2697.322814
1.728,2689.046992
1.736,2685.071476
1.744,2682.486842
1.752,2696.097553
1.76,2711.644848
1.768,2722.465684
1.776,2763.368144
1.784,2828.976983
1.792,2895.258348
1.8,2920.61245
1.808,2920.674645
1.816,2915.203152
1.824,2899.454585
1.832,2882.579447
1.84,2872.633687
1.848,2865.728304
1.856,2866.520047
1.864,2870.46438
1.872,2888.394565
1.88,2898.983477
1.888,2919.14954
1.896,2998.487203
1.904,3034.25466
1.912,3093.216338
1.92,3100.427139
1.928,3096.459336
1.936,3088.766397
1.944,3072.692843
1.952,3059.630052
1.96,3051.169489
1.968,3047.225591
1.976,3048.773083
1.984,3059.52471
1.992,3071.997829
2,3081.323431
2.008,3125.481514
2.016,3184.340584
2.024,3249.737442
2.032,3278.807866
2.04,3279.344192
2.048,3276.243204
2.056,3262.486843
2.064,3246.184973
2.072,3234.895048
2.08,3227.814484
2.088,3227.628498
2.096,3226.73462
2.104,3245.295034
2.112,3256.417475
2.12,3269.910007
2.128,3357.812092
2.136,3387.332042
2.144,3449.811277
2.152,3462.141013
2.16,3458.250367
2.168,3448.812322
2.176,3430.959743
2.184,3416.806168
2.192,3408.558849
2.2,3405.3759
2.208,3402.207337
2.216,3418.471515
2.224,3432.855622
2.232,3442.992817
2.24,3488.67695
2.248,3549.64445
2.256,3616.852694
2.264,3640.329198
2.272,3639.431076
2.28,3635.69545
2.288,3621.872803
2.296,3606.485565
2.304,3595.716442
2.312,3588.515336
2.32,3588.753506
2.328,3590.02796
2.336,3606.505262
2.344,3616.257066
2.352,3628.925147
2.36,3692.12346
2.368,3737.220292
2.376,3804.222178
2.384,3820.130491
2.392,3816.16739
2.4,3813.649025
2.408,3798.978709
2.416,3784.895898
2.424,3774.676622
2.432,3768.437388
2.44,3770.694751
2.448,3773.575593
2.456,3787.722039
2.464,3797.0421
2.472,3813.886517
2.48,3897.668962
2.488,3929.243576
2.496,3992.520637
2.504,4002.161439
2.512,3998.205629
2.52,3986.869558
2.528,3968.654372
2.536,3954.785891
2.544,3947.258833
2.552,3945.175537
2.56,3940.189792
2.568,3960.771473
2.576,3974.603905
2.584,3986.23717
2.592,4045.428978
2.6,4103.326985
2.608,4166.874352
2.616,4182.778342
2.624,4179.564966
2.632,4171.287495
2.64,4153.794534
2.648,4138.379722
2.656,4129.783995
2.664,4125.164248
2.672,4123.318466
2.68,4136.211655
2.688,4152.195767
2.696,4163.178232
2.704,4203.978529
2.712,4268.283151
2.72,4332.900109
2.728,4358.16939
2.736,4359.032407
2.744,4356.089153
2.752,4343.594616
2.76,4328.034363
2.768,4317.107248
2.776,4309.750654
2.784,4308.935924
2.792,4308.519155
2.8,4324.329841
2.808,4334.308328
2.816,4344.216051
2.824,4393.844967
2.832,4449.910013
2.84,4519.11163
2.848,4540.646629
2.856,4538.509381
2.864,4534.705596
2.872,4518.833783
2.88,4502.962743
2.888,4493.419745
2.896,4487.31817
2.904,4487.650106
2.912,4491.970632
2.92,4507.827609
2.928,4517.707301
2.936,4535.941489
2.944,4606.558822
2.952,4651.210293
2.96,4713.538468
2.968,4722.548788
2.976,4717.325164
2.984,4708.730153
2.992,4691.279671
3,4677.622488
3.008,4669.695393
3.016,4667.128904
3.024,4665.090145
3.032,4679.627498
3.04,4692.312755
3.048,4702.124277
3.056,4741.867901
3.064,4805.582182
3.072,4872.543775
3.08,4899.728869
3.088,4900.607161
3.096,4896.375905
3.104,4882.105559
3.112,4865.495204
3.12,4854.401071
3.128,4847.615895
3.136,4847.720469
3.144,4847.621871
3.152,4866.016053
3.16,4876.517571
3.168,4889.547767
3.176,4949.743266
3.184,4998.376628
3.192,5065.819305
3.2,5081.09022
3.208,5076.829043
3.216,5073.969106
3.224,5059.082059
3.232,5044.811801
3.24,5034.788559
3.248,5028.836287
3.256,5031.551635
3.264,5034.264821
3.272,5047.759014
3.28,5056.556286
3.288,5071.864338
3.296,5131.472008
3.304,5180.627233
3.312,5248.077244
3.32,5261.685036
3.328,5258.270614
3.336,5250.347433
3.344,5232.69225
3.352,5217.301657
3.36,5209.137688
3.368,5205.38475
3.376,5199.736126
3.384,5217.269876
3.392,5233.06531
3.4,5243.44722
3.408,5314.872753
3.416,5379.662834
3.424,5420.68791
3.432,5441.335733
3.44,5439.852787
3.448,5433.426935
3.456,5416.75583
3.464,5399.993011
3.472,5390.984009
3.48,5385.298548
3.488,5385.157764
3.496,5392.569488
3.504,5409.593389
3.512,5421.441942
3.52,5452.412607
3.528,5526.635369
3.536,5590.264087
3.544,5617.465926
3.552,5620.888402
3.56,5617.130459
3.568,5604.162745
3.576,5587.232754
3.584,5575.68398
3.592,5568.215868
3.6,5566.623169
3.608,5564.112048
3.616,5584.208366
3.624,5596.882165
3.632,5611.757984
3.64,5700.578135
3.648,5727.101324
3.656,5788.978102
3.664,5800.990215
3.672,5797.243484
3.68,5791.374353
3.688,5774.967011
3.696,5761.009384
