Time,Angle OG,,,,Angle
0.008,0.702726752,,12.36530868,,-11.66258193
0.016,12.40437888,,24.73061737,,-12.32623849
0.024,20.28884973,,37.09592605,,-16.80707632
0.032,68.51405766,,49.46123474,,19.05282292
0.04,125.3809819,,61.82654342,,63.55443848
0.048,188.704803,,74.19185211,,114.5129509
0.056,219.0231221,,86.55716079,,132.4659613
0.064,218.4801902,,98.92246948,,119.5577207
0.072,215.5461952,,111.2877782,,104.258417
0.08,200.950141,,123.6530868,,77.29705415
0.088,184.5930557,,136.0183955,,48.57466017
0.096,173.5472138,,148.3837042,,25.16350959
0.104,166.1348542,,160.7490129,,5.385841301
0.112,166.8954141,,173.1143216,,-6.218907483
0.12,167.9591455,,185.4796303,,-17.52048477
0.128,185.2115922,,197.844939,,-12.63334675
0.136,196.0324665,,210.2102476,,-14.17778114
0.144,210.4007395,,222.5755563,,-12.17481682
0.152,269.8719171,,234.940865,,34.93105209
0.16,330.8924362,,247.3061737,,83.58626251
0.168,393.4404423,,259.6714824,,133.7689599
0.176,403.3016835,,272.0367911,,131.2648924
0.184,397.47241,,284.4020997,,113.0703103
0.192,388.0680567,,296.7674084,,91.30064827
0.2,370.1576265,,309.1327171,,61.02490939
0.208,356.3877879,,321.4980258,,34.8897621
0.216,347.873732,,333.8633345,,14.01039752
0.224,344.9216208,,346.2286432,,-1.307022367
0.232,343.4901851,,358.5939519,,-15.10376675
0.24,360.2664729,,370.9592605,,-10.69278764
0.248,373.6964181,,383.3245692,,-9.62815112
0.256,382.9842197,,395.6898779,,-12.7056582
0.264,431.6519811,,408.0551866,,23.59679451
0.272,492.1818797,,420.4204953,,71.76138443
0.28,558.9311802,,432.785804,,126.1453762
0.288,580.469693,,445.1511126,,135.3185804
0.296,578.0575206,,457.5164213,,120.5410993
0.304,574.399243,,469.88173,,104.517513
0.312,559.3137478,,482.2470387,,77.0667091
0.32,544.4128915,,494.6123474,,49.80054412
0.328,533.7362076,,506.9776561,,26.75855153
0.336,526.6303088,,519.3429648,,7.28734405
0.344,529.2574535,,531.7082734,,-2.450819935
0.352,532.5988463,,544.0735821,,-11.47473582
0.36,548.0009643,,556.4388908,,-8.437926504
0.368,557.3942724,,568.8041995,,-11.40992709
0.376,573.1573283,,581.1695082,,-8.012179873
0.384,634.5382022,,593.5348169,,41.00338534
0.392,687.0378236,,605.9001255,,81.13769806
0.4,751.2765099,,618.2654342,,133.0110757
0.408,760.6039334,,630.6307429,,129.9731905
0.416,755.4396731,,642.9960516,,112.4436215
0.424,749.8313316,,655.3613603,,94.46997132
0.432,733.6450848,,667.726669,,65.91841584
0.44,720.0305597,,680.0919776,,39.93858205
0.448,711.041539,,692.4572863,,18.58425267
0.456,706.4984206,,704.822595,,1.675825582
0.464,710.071492,,717.1879037,,-7.116411703
0.472,718.3554209,,729.5532124,,-11.19779149
0.48,730.9396693,,741.9185211,,-10.97885177
0.488,739.4410973,,754.2838298,,-14.84273246
0.496,775.005577,,766.6491384,,8.356438559
0.504,839.2825316,,779.0144471,,60.26808447
0.512,906.4851485,,791.3797558,,115.1053927
0.52,938.8101126,,803.7450645,,135.0650481
0.528,940.6405962,,816.1103732,,124.530223
0.536,936.7086636,,828.4756819,,108.2329817
0.544,922.8378317,,840.8409905,,81.99684115
0.552,905.9788391,,853.2062992,,52.77253987
0.56,893.995464,,865.5716079,,28.42385608
0.568,886.4806538,,877.9369166,,8.543737198
0.576,886.079199,,890.3022253,,-4.223026286
0.584,885.4030738,,902.667534,,-17.26446017
0.592,905.6046685,,915.0328427,,-9.428174155
0.6,917.3543495,,927.3981513,,-10.04380184
0.608,930.8757681,,939.76346,,-8.887691924
0.616,1019.240258,,952.1287687,,67.11148929
0.624,1050.230663,,964.4940774,,85.73658561
0.632,1111.397107,,976.8593861,,134.5377209
0.64,1121.453388,,989.2246948,,132.2286932
0.648,1117.239482,,1001.590003,,115.6494786
0.656,1108.421421,,1013.955312,,94.46610887
0.664,1090.932946,,1026.320621,,64.61232518
0.672,1077.712488,,1038.68593,,39.0265585
0.68,1069.075357,,1051.051238,,18.02411881
0.688,1065.618446,,1063.416547,,2.20189913
0.696,1065.094865,,1075.781856,,-10.68699055
0.704,1079.102542,,1088.147164,,-9.044622239
0.712,1093.014184,,1100.512473,,-7.498288923
0.72,1102.875191,,1112.877782,,-10.00259061
0.728,1151.491761,,1125.24309,,26.24867071
0.736,1210.533877,,1137.608399,,72.92547802
0.744,1276.91191,,1149.973708,,126.9382023
0.752,1300.090146,,1162.339016,,137.7511297
0.76,1298.433602,,1174.704325,,123.729277
0.768,1294.287309,,1187.069634,,107.2176753
0.776,1278.62587,,1199.434942,,79.1909276
0.784,1262.86802,,1211.800251,,51.06776892
0.792,1252.803361,,1224.16556,,28.63780123
0.8,1245.489969,,1236.530868,,8.959100547
0.808,1247.049797,,1248.896177,,-1.846380137
0.816,1251.289914,,1261.261486,,-9.971571822
0.824,1269.408548,,1273.626795,,-4.218246507
0.832,1280.325025,,1285.992103,,-5.667078191
0.84,1315.240432,,1298.357412,,16.88302012
0.848,1389.610848,,1310.722721,,78.88812744
0.856,1447.711274,,1323.088029,,124.6232448
0.864,1477.374866,,1335.453338,,141.9215281
0.872,1479.57534,,1347.818647,,131.7566934
0.88,1475.375568,,1360.183955,,115.1916127
0.888,1461.496255,,1372.549264,,88.94699102
0.896,1444.865359,,1384.914573,,59.95078633
0.904,1434.345001,,1397.279881,,37.06511965
0.912,1426.904139,,1409.64519,,17.25894896
0.92,1427.25602,,1422.010499,,5.245521279
0.928,1427.062984,,1434.375807,,-7.312823405
0.936,1443.563699,,1446.741116,,-3.17741709
0.944,1454.294105,,1459.106425,,-4.812319774
0.952,1467.30402,,1471.471733,,-4.167713459
0.96,1500.783775,,1483.837042,,16.94673286
