Time (chopped),Angle (chopped),,,Time,Angle
0.008,69.14245201,,,0.008,65.12467004
0.016,-18.19599768,,,0.016,-22.21377966
0.024,25.26539403,,,0.024,21.24761206
0.032,30.30388454,,,0.032,26.28610257
0.04,21.05525585,,,0.04,17.03747388
0.048,7.069261746,,,0.048,3.051479772
0.056,-8.865261148,,,0.056,-12.88304312
0.064,-19.17897717,,,0.064,-23.19675914
0.072,-18.78293077,,,0.072,-22.80071275
0.08,-9.336285795,,,0.08,-13.35406777
0.088,-7.038672979,,,0.088,-11.05645495
0.096,-4.6657309,,,0.096,-8.683512874
0.104,4.193343759,,,0.104,0.175561785
0.112,15.92964653,,,0.112,11.91186456
0.12,40.07767847,,,0.12,36.0598965
0.128,-36.28076138,,,0.128,-40.29854336
0.136,6.50208343,,,0.136,2.484301456
0.144,29.21992898,,,0.144,25.20214701
0.152,24.79763721,,,0.152,20.77985524
0.16,12.1510834,,,0.16,8.133301426
0.168,-4.094033842,,,0.168,-8.111815815
0.176,-16.68764432,,,0.176,-20.70542629
0.184,-19.06222407,,,0.184,-23.08000604
0.192,-9.693509129,,,0.192,-13.7112911
0.2,-4.732879481,,,0.2,-8.750661454
0.208,-6.124888751,,,0.208,-10.14267072
0.216,0.482013206,,,0.216,-3.535768767
0.224,9.048029508,,,0.224,5.030247535
,,,,0.368,-5.143815976
,,,,0.376,22.49751998
,,,,0.384,22.16988133
,,,,0.392,10.91402938
,,,,0.4,-6.668019502
,,,,0.408,-20.00896648
,,,,0.416,-22.61561777
,,,,0.424,-13.60856184
,,,,0.432,-5.899492405
,,,,0.44,-7.440730297
,,,,0.448,-3.810974957
,,,,0.456,3.031031377
,,,,0.464,13.68507329
,,,,0.472,44.658426
,,,,0.48,-31.05224815
,,,,0.488,7.231658924
,,,,0.496,24.09103093
0.368,358.9378033,,,0.504,18.57758235
0.376,386.5791393,,,0.512,4.759374946
0.384,386.2515007,,,0.52,-13.32169963
0.392,374.9956487,,,0.528,-23.57082079
0.4,357.4135998,,,0.536,-24.43010648
0.408,344.0726528,,,0.544,-10.92245115
0.416,341.4660016,,,0.552,-10.16219082
0.424,350.4730575,,,0.56,-8.040323171
0.432,358.1821269,,,0.568,2.137299192
0.44,356.640889,,,0.576,13.73148451
0.448,360.2706444,,,0.584,45.67628281
0.456,367.1126507,,,0.592,-39.13517298
0.464,377.7666926,,,0.6,7.64138025
0.472,408.7400453,,,0.608,26.3656797
0.48,333.0293712,,,0.616,20.89033763
0.488,371.3132782,,,0.624,8.091946396
0.496,388.1726503,,,0.632,-8.753039324
0.504,382.6592017,,,0.64,-21.65308987
0.512,368.8409943,,,0.648,-24.03000521
0.52,350.7599197,,,0.656,-14.99650507
0.528,340.5107985,,,0.664,-8.182237834
0.536,339.6515128,,,0.672,-7.320485697
0.544,353.1591682,,,0.68,-3.821723819
0.552,353.9194285,,,0.688,3.687299475
0.56,356.0412962,,,0.696,15.64641686
0.568,366.2189185,,,0.704,44.37029766
0.576,377.8131038,,,0.712,-22.54948709
