Time,Angle
0.008,3.040420276
0.016,3.005782237
0.024,2.985733763
0.032,2.96735783
0.04,2.949143682
0.048,2.97558622
0.056,3.022371529
0.064,3.012930079
0.072,2.923174191
0.08,2.783366575
0.088,2.671722185
0.096,2.696987378
0.104,2.80458134
0.112,2.812335695
0.12,2.814823359
0.128,2.831445355
0.136,2.860751774
0.144,2.913632488
0.152,2.970100973
0.16,3.011480611
0.168,3.022755333
0.176,3.003808891
0.184,2.973162222
0.192,2.965181456
0.2,2.980925274
0.208,3.005149833
0.216,3.038454012
0.224,3.057957445
0.232,3.053128813
0.24,3.031298034
0.248,3.017037199
0.256,2.995240142
0.264,2.965367561
0.272,2.946608733
0.28,2.973056316
0.288,2.997610332
0.296,2.965588401
0.304,2.863138721
0.312,2.760752681
0.32,2.701928752
0.328,2.813133329
0.336,2.817158675
0.344,2.813329239
0.352,2.823747276
0.36,2.861718721
0.368,2.935624709
0.376,3.001254053
0.384,3.035679574
0.392,3.037945159
0.4,3.003856324
0.408,2.965425609
0.416,2.965510017
0.424,2.993750354
0.432,3.025545914
0.44,3.057714884
0.448,3.073007845
0.456,3.055759681
0.464,3.020624305
0.472,2.99635753
0.48,2.969443129
0.488,2.930532406
0.496,2.916316093
0.504,2.957661949
0.512,2.974514883
0.52,2.912944422
0.528,2.823973852
0.536,2.735662766
0.544,2.788148102
0.552,2.819704242
0.56,2.802675001
0.568,2.811040021
0.576,2.837662788
0.584,2.902344075
0.592,2.97901911
0.6,3.033418948
0.608,3.047791504
0.616,3.020895263
0.624,2.974201318
0.632,2.950434845
0.64,2.971058224
0.648,3.00606566
0.656,3.046087545
0.664,3.078148961
0.672,3.076914196
0.68,3.039840912
0.688,3.007424541
0.696,2.988189457
0.704,2.965225418
0.712,2.940761406
0.72,2.965731065
0.728,3.010475209
0.736,2.992489753
0.744,2.894286225
0.752,2.770567443
0.76,2.67083761
0.768,2.724601337
0.776,2.808636874
0.784,2.804073495
0.792,2.814495012
0.8,2.839892159
0.808,2.901720074
0.816,2.964597385
0.824,3.014062922
0.832,3.031149452
0.84,3.005272196
0.848,2.969491282
0.856,2.948861648
0.864,2.966873637
0.872,2.995355732
0.88,3.031120021
0.888,3.061506373
0.896,3.06328243
0.904,3.03170845
0.912,3.012929846
0.92,3.007472454
0.928,2.995048249
0.936,2.98232707
0.944,2.997376572
0.952,3.028386091
0.96,3.031806656
0.968,2.976219048
0.976,2.865033869
0.984,2.744112276
0.992,2.71326849
1,2.776548397
1.008,2.82631177
1.016,2.822424489
1.024,2.82865733
1.032,2.831134605
1.04,2.851740653
1.048,2.903879078
1.056,2.971270359
1.064,3.017840855
1.072,3.034816764
1.08,3.013942912
1.088,2.977677795
1.096,2.964391101
1.104,2.978661405
1.112,3.003425715
1.12,3.037859369
1.128,3.060789866
1.136,3.056991926
1.144,3.030047381
1.152,3.006711123
1.16,2.975878806
1.168,2.942064
1.176,2.928227676
1.184,2.969374418
1.192,2.993278384
1.2,2.945908532
1.208,2.835826377
1.216,2.740184505
1.224,2.74281231
1.232,2.831750849
1.24,2.813665137
1.248,2.810772008
1.256,2.831615417
1.264,2.895079038
1.272,2.97977419
1.28,3.035504098
1.288,3.051462182
1.296,3.026275268
1.304,2.978613961
1.312,2.950277223
1.32,2.970405599
1.328,3.009884972
1.336,3.050171496
1.344,3.081694704
