Time OG,Angle OG,,Time,Angle
0.008,8.206291958,,0.008,15.84800823
0.016,13.81502332,,0.016,21.45673959
0.024,6.949412992,,0.024,14.59112927
0.032,-2.932111282,,0.032,4.709604991
0.04,-15.2204526,,0.04,-7.578736323
0.048,-22.30947961,,0.048,-14.66776334
0.056,-22.09285283,,0.056,-14.45113656
0.064,-23.20077947,,0.064,-15.5590632
0.072,-9.01662358,,0.072,-1.374907307
0.08,5.81735092,,0.08,13.45906719
0.088,10.25172589,,0.088,17.89344217
0.096,6.362685135,,0.096,14.00440141
0.104,-1.968408105,,0.104,5.673308168
0.112,-15.12609807,,0.112,-7.484381796
0.12,-21.81826673,,0.12,-14.17655046
0.128,-20.22935407,,0.128,-12.5876378
0.136,-32.74678877,,0.136,-25.1050725
0.144,-25.66770451,,0.144,-18.02598823
0.152,-3.969685028,,0.152,3.672031246
0.16,8.088265066,,0.16,15.72998134
0.168,8.959413105,,0.168,16.60112938
0.176,2.995724153,,0.176,10.63744043
0.184,-6.982917049,,0.184,0.658799224
0.192,-18.07579548,,0.192,-10.4340792
0.2,-21.13148218,,0.2,-13.48976591
0.208,40.97242427,,0.224,-32.66933266
0.216,61.48045855,,0.232,-5.179404135
0.224,138.215593,,0.24,12.59107379
0.232,165.7055215,,0.248,18.67695579
0.24,183.4759994,,0.256,14.09554437
0.248,189.5618814,,0.264,6.511543859
0.256,184.98047,,0.272,-4.151666715
0.264,177.3964695,,0.28,-11.88989391
0.272,166.7332589,,0.288,-13.40758435
0.28,158.9950318,,0.296,-11.79663993
0.288,157.4773413,,0.304,0.749356842
0.296,159.0882857,,0.312,14.09481057
0.304,171.6342825,,0.32,19.30795219
0.312,184.9797362,,0.328,15.64652709
0.32,190.1928778,,0.336,7.61623607
0.328,186.5314528,,0.344,-5.689269068
0.336,178.5011617,,0.352,-11.51249583
0.344,165.1956566,,0.36,-12.99371397
0.352,159.3724298,,0.384,-8.560910879
0.36,157.8912117,,0.392,7.232903912
0.368,235.4838406,,0.4,15.37720647
0.376,312.2169503,,0.408,14.83059416
0.384,342.1241654,,0.416,9.65689683
0.392,357.9179802,,0.424,-0.831704665
0.4,366.0622827,,0.432,-11.87135547
0.408,365.5156704,,0.44,-13.25207145
0.416,360.3419731,,0.448,-15.00018455
0.424,349.8533716,,0.456,-16.64601339
0.432,338.8137208,,0.464,-0.653114876
0.44,337.4330048,,0.472,17.63011078
0.448,335.6848917,,0.48,21.65132466
0.456,334.0390629,,0.488,15.67024343
0.464,350.0319614,,0.496,6.68470171
0.472,368.3151871,,0.504,-6.242795034
0.48,372.3364009,,0.512,-12.49897209
0.488,366.3553197,,0.52,-9.857869144
0.496,357.369778,,0.528,-21.91280184
0.504,344.4422812,,0.536,-27.18735162
0.512,338.1861042,,0.544,-2.551640473
0.52,340.8272071,,0.552,13.25733614
0.528,328.7722744,,0.56,18.0274879
0.536,323.4977247,,0.568,14.03016301
0.544,348.1334358,,0.576,6.444248219
0.552,363.9424124,,0.584,-5.013051697
0.56,368.7125642,,0.592,-12.24331343
0.568,364.7152393,,0.6,-12.73741505
0.576,357.1293245,,0.608,-11.9161523
0.584,345.6720246,,0.616,0.189432383
0.592,338.4417628,,0.624,13.99248966
0.6,337.9476612,,0.632,19.50533376
0.608,338.768924,,0.64,15.87851741
0.616,350.8745087,,0.648,8.42754316
0.624,364.6775659,,0.656,-5.011539978
0.632,370.19041,,0.664,-11.41549267
0.64,366.5635937,,0.672,-13.08278297
0.648,359.1126194,,0.68,-110.0732026
0.656,345.6735363,,0.688,-37.29343179
0.664,339.2695836,,0.696,-7.514831807
0.672,337.6022933,,0.704,9.920085175
0.68,417.3376277,,0.712,18.73369968
0.688,490.1173986,,0.72,18.19492375
0.696,519.8959986,,0.728,12.95112999
0.704,537.3309156,,0.736,2.945670671
0.712,546.1445301,,0.744,-6.466522785
0.72,545.6057541,,0.752,-9.346838941
0.728,540.3619604,,0.76,-10.12497335
0.736,530.356501,,0.768,-3.466629592
0.744,520.9443076,,0.776,12.03708129
0.752,518.0639914,,0.784,23.0804264
0.76,517.285857,,0.792,21.47910375
0.768,523.9442008,,0.8,16.59648263
0.776,539.4479117,,0.808,3.420678586
0.784,550.4912568,,0.816,-6.474055624
0.792,548.8899341,,0.824,-8.047460821
0.8,544.007313,,0.832,59.44866542
0.808,530.831509,,0.848,-23.75759865
0.816,520.9367748,,0.856,0.813292314
0.824,519.3633696,,0.864,13.06274455
0.832,586.8594958,,0.872,15.2669875
0.84,668.767885,,0.88,11.8763412
0.848,687.2265662,,0.888,3.952500871
0.856,711.7974572,,0.896,-7.11617154
0.864,724.0469094,,0.904,-13.35973072
0.872,726.2511524,,0.912,-12.33151725
0.88,722.8605061,,0.92,-13.38337959
0.888,714.9366658,,0.928,-0.266784407
0.896,703.8679934,,0.936,15.04838107
0.904,697.6244342,,0.944,19.92718557
0.912,698.6526476,,0.952,15.84784195
0.92,697.6007853,,0.96,7.993608894
0.928,710.7173805,,0.968,-5.694675394
0.936,726.032546,,0.976,-11.85225367
0.944,730.9113505,,0.984,36.93077185
0.952,726.8320068,,0.992,61.48673562
0.96,718.9777738,,1,65.0274217
0.968,705.2894895,,1.008,-20.29211578
0.976,699.1319112,,1.016,-4.74681576
0.984,747.9149367,,1.024,9.029191569
0.992,772.4709005,,1.032,14.22210267
1,776.0115866,,1.04,12.13080251
1.008,690.6920491,,1.048,5.456760365
1.016,706.2373491,,1.056,-6.832683604
1.024,720.0133565,,1.064,-12.38914859
1.032,725.2062676,,1.072,-12.77492834
1.04,723.1149674,,1.08,-7.107792921
1.048,716.4409253,,1.088,4.970537475
1.056,704.1514813,,1.096,16.94283233
1.064,698.5950163,,1.104,19.26606591
1.072,698.2092366,,1.112,14.46219716
1.08,703.876372,,1.12,0.920082925
1.088,715.9547024,,1.128,-8.370543131
1.096,727.9269972,,1.136,-12.78391606
1.104,730.2502308,,1.144,-10.44052251
1.112,725.446362,,1.152,-8.436324767
1.12,711.9042478,,1.16,-8.779750628
1.128,702.6136218,,1.168,2.915779197
1.136,698.2002488,,1.176,12.77440367
1.144,700.5436424,,1.184,15.1516383
1.152,702.5478401,,1.192,12.2789558
1.16,702.2044143,,1.2,1.232706446
1.168,713.8999441,,1.208,-16.91474615
1.176,723.7585686,,1.216,-14.88323877
1.184,726.1358032,,1.224,18.93336512
1.192,723.2631207,,1.232,-17.50417323
1.2,712.2168713,,1.24,-21.01070787
1.208,694.0694187,,1.248,1.463470259
1.216,696.1009261,,1.256,18.70715443
1.224,729.91753,,1.264,20.26535287
1.232,693.4799917,,1.272,13.38593356
1.24,689.973457,,1.28,2.648539192
1.248,712.4476351,,1.288,-7.880315504
1.256,729.6913193,,1.296,-13.16406133
1.264,731.2495178,,1.304,-12.72500843
1.272,724.3700984,,1.312,-11.78532366
1.28,713.6327041,,1.32,1.500086117
1.288,703.1038494,,1.328,14.12617736
1.296,697.8201036,,1.336,18.18600382
1.304,698.2591565,,1.344,14.921944
1.312,699.1988412,,1.352,3.854734536
1.32,712.484251,,1.36,-7.614614488
1.328,725.1103422,,1.368,-12.21117026
1.336,729.1701687,,1.376,-11.70801463
1.344,725.9061089,,1.384,-18.68310128
1.352,714.8388994,,1.392,-10.16114928
1.36,703.3695504,,1.4,5.720117139
1.368,698.7729946,,1.408,14.54098546
1.376,699.2761503,,1.416,15.55425421
1.384,692.3010636,,1.424,11.03489694
1.392,700.8230156,,1.432,-0.612638575
1.4,716.704282,,1.44,-10.74310631
1.408,725.5251504,,1.448,-18.24595555
1.416,726.5384191,,1.456,59.1154934
1.424,722.0190618,,1.464,-22.42360556
1.432,710.3715263,,1.472,-23.58376657
1.44,700.2410586,,1.48,-2.897270657
1.448,692.7382093,,1.488,10.85391788
1.456,770.0996583,,1.496,15.6949911
1.464,688.5605593,,1.504,13.32450394
1.472,687.4003983,,1.512,7.118998539
1.48,708.0868942,,1.52,-5.536618051
1.488,721.8380828,,1.528,-14.36074546
1.496,726.679156,,1.536,-14.93441191
1.504,724.3086688,,1.544,-20.43189755
1.512,718.1031634,,1.552,-14.06414306
1.52,705.4475468,,1.56,3.356775712
1.528,696.6234194,,1.568,16.5012792
1.536,696.049753,,1.576,17.82048918
1.544,690.5522673,,1.584,12.47999707
1.552,696.9200218,,1.592,2.40361004
1.56,714.3409406,,1.6,-8.464224256
1.568,727.4854441,,1.608,-12.18272316
1.576,728.8046541,,1.616,-17.01319275
1.584,723.464162,,1.624,-20.28218879
1.592,713.3877749,,1.632,-6.17960842
1.6,702.5199406,,1.64,8.793668971
1.608,698.8014417,,1.648,16.31186755
1.616,693.9709721,,1.656,15.02289109
1.624,690.7019761,,1.664,8.867240229
1.632,704.8045565,,1.672,-2.754555632
1.64,719.7778339,,1.68,-10.85930572
1.648,727.2960324,,1.688,-13.1573792
1.656,726.007056,,1.696,-20.07552229
1.664,719.8514051,,1.704,-14.96550208
1.672,708.2296093,,1.712,0.28371382
1.68,700.1248592,,1.72,12.76813992
1.688,697.8267857,,1.728,16.32654196
1.696,690.9086426,,1.736,12.69820221
1.704,696.0186628,,1.744,4.467315306
1.712,711.2678787,,1.752,-6.778524453
1.72,723.7523048,,1.76,-11.75646082
1.728,727.3107068,,1.768,-18.60333181
1.736,723.6823671,,1.776,-25.14630983
1.744,715.4514802,,1.784,-13.99337345
1.752,704.2056404,,1.792,3.222287048
1.76,699.2277041,,1.8,14.14091319
1.768,692.3808331,,1.808,15.98553812
1.776,685.8378551,,1.816,11.48811253
1.784,696.9907914,,1.824,2.339161393
1.792,714.2064519,,1.832,-8.571785979
1.8,725.1250781,,1.84,-13.61508945
1.808,726.969703,,1.848,-18.63375514
1.816,722.4722774,,1.856,-21.94474437
1.824,713.3233263,,1.864,-7.736527943
1.832,702.4123789,,1.872,7.974449279
1.84,697.3690754,,1.88,16.3621016
1.848,692.3504097,,1.888,15.30491296
1.856,689.0394205,,1.896,9.53573254
1.864,703.2476369,,1.904,-1.844032639
1.872,718.9586142,,1.912,-10.54199897
1.88,727.3462665,,1.92,-16.21080801
1.888,726.2890778,,1.928,-21.81253134
1.896,720.5198974,,1.936,-25.50328733
1.904,709.1401323,,1.944,-8.000898464
1.912,700.4421659,,1.952,7.597286932
1.92,694.7733569,,1.96,15.63851747
1.928,689.1716336,,1.968,14.7835119
1.936,685.4808776,,1.976,9.277203949
1.944,702.9832664,,1.984,-1.888140784
1.952,718.5814518,,1.992,-11.15494531
1.96,726.6226824,,2,-17.00304976
1.968,725.7676768,,2.008,-21.15476338
1.976,720.2613688,,2.016,-22.43319965
1.984,709.0960241,,2.024,-5.824721768
1.992,699.8292196,,2.032,10.00128826
2,693.9811151,,2.04,16.90765462
2.008,689.8294015,,2.048,14.47005177
2.016,688.5509652,,2.056,8.054590186
2.024,705.1594431,,2.064,-3.571818865
2.032,720.9854532,,2.072,-11.474809
2.04,727.8918195,,2.08,-16.61991089
2.048,725.4542167,,2.088,-22.99423579
2.056,719.0387551,,2.096,-15.93438009
2.064,707.412346,,2.104,0.354239747
2.072,699.5093559,,,
2.08,694.364254,,,
2.088,687.9899291,,,
2.096,695.0497848,,,
2.104,711.3384046,,,
